Date,Price
1980-01-01,117.23001099
1980-02-01,122.01000977
1980-03-01,119.32000732
1980-04-01,132.72000122
1980-05-01,142.07000732
1980-06-01,141.63000488
1980-07-01,146.38000488
1980-08-01,140.95999146
1980-09-01,132.48999023
1980-10-01,134.35998535
1980-11-01,124.20001221
1980-12-01,120.62000275
1981-01-01,133.27999878
1981-02-01,134.11999512
1981-03-01,124.75
1981-04-01,136.17001343
1981-05-01,146.29998779
1981-06-01,135.45001221
1981-07-01,113.12999725
1981-08-01,101.22000122
1981-09-01,112.39998627
1981-10-01,120.58999634
1981-11-01,122.25
1981-12-01,120.07000732
1982-01-01,135.29998779
1982-02-01,124.70001221
1982-03-01,121.29998779
1982-04-01,116.64998627
1982-05-01,116.39000702
1982-06-01,110.60001373
1982-07-01,108.82998657
1982-08-01,104.02999878
1982-09-01,100.73001099
1982-10-01,95.880004883
1982-11-01,85.839996338
1982-12-01,83.540008545
1983-01-01,81.299987793
1983-02-01,77.5
1983-03-01,84.730010986
1983-04-01,96.640014648
1983-05-01,95.869995117
1983-06-01,89.549987793
1983-07-01,87.609985352
1983-08-01,88.079986572
1983-09-01,88.859985352
1983-10-01,89.690002441
1983-11-01,88.720001221
1983-12-01,86.059997559
1984-01-01,84.5
1984-02-01,85.279998779
1984-03-01,88.779998779
1984-04-01,94.570007324
1984-05-01,94.989990234
1984-06-01,94.079986572
1984-07-01,89.329986572
1984-08-01,88.820007324
1984-09-01,84.890014648
1984-10-01,82.329986572
1984-11-01,84.369995117
1984-12-01,80.489990234
1985-01-01,79.489990234
1985-02-01,76.970001221
1985-03-01,78.269989014
1985-04-01,84.480010986
1985-05-01,84.049987793
1985-06-01,85.390014648
1985-07-01,90.829986572
1985-08-01,89.619995117
1985-09-01,83.619995117
1985-10-01,82.529998779
1985-11-01,83.529998779
1985-12-01,83.920013428
1986-01-01,82.640014648
1986-02-01,82.929992676
1986-03-01,89.450012207
1986-04-01,91.299987793
1986-05-01,97.440002441
1986-06-01,108.48999023
1986-07-01,105.64998627
1986-08-01,90.670013428
1986-09-01,94.260009766
1986-10-01,89.239990234
1986-11-01,88.269989014
1986-12-01,90.510009766
1987-01-01,94.899993896
1987-02-01,96.0
1987-03-01,99.399993896
1987-04-01,99.600006104
1987-05-01,101.04998779
1987-06-01,98.630004883
1987-07-01,95.989990234
1987-08-01,93.0
1987-09-01,97.019989014
1987-10-01,95.109985352
1987-11-01,101.0
1987-12-01,109.67001343
1988-01-01,112.70001221
1988-02-01,109.92999268
1988-03-01,115.10001373
1988-04-01,117.20001221
1988-05-01,115.62000275
1988-06-01,110.12000275
1988-07-01,104.89998627
1988-08-01,103.0
1988-09-01,102.20001221
1988-10-01,104.66000366
1988-11-01,108.29998779
1988-12-01,109.73999023
1989-01-01,105.5
1989-02-01,104.52999878
1989-03-01,102.89998627
1989-04-01,108.39000702
1989-05-01,105.85999298
1989-06-01,102.10001373
1989-07-01,106.55999756
1989-08-01,105.0
1989-09-01,104.45001221
1989-10-01,106.79000854
1989-11-01,103.33999634
1989-12-01,108.32998657
1990-01-01,111.89998627
1990-02-01,116.17001343
1990-03-01,114.07998657
1990-04-01,121.10999298
1990-05-01,122.51998901
1990-06-01,123.41000366
1990-07-01,125.57000732
1990-08-01,125.37999725
1990-09-01,124.07000732
1990-10-01,125.45999146
1990-11-01,123.73001099
1990-12-01,120.32000732
1991-01-01,119.23001099
1991-02-01,120.89000702
1991-03-01,111.0
1991-04-01,103.58999634
1991-05-01,103.98001099
1991-06-01,100.10001373
1991-07-01,96.745300293
1991-08-01,99.279998779
1991-09-01,99.892089844
1991-10-01,96.517791748
1991-11-01,100.22167969
1991-12-01,107.05429077
1992-01-01,107.76000977
1992-02-01,111.26998901
1992-03-01,108.61019897
1992-04-01,112.45709229
1992-05-01,116.84191895
1992-06-01,119.20883179
1992-07-01,123.68624878
1992-08-01,125.7975769
1992-09-01,124.77185059
1992-10-01,117.35269165
1992-11-01,106.63524628
1992-12-01,110.66816711
1993-01-01,110.20095825
1993-02-01,105.26358795
1993-03-01,112.07186127
1993-04-01,121.76999664
1993-05-01,127.25488281
1993-06-01,131.1713562
1993-07-01,130.10038757
1993-08-01,129.77354431
1993-09-01,132.62159729
1993-10-01,130.8999939
1993-11-01,128.80046082
1993-12-01,129.4708252
1994-01-01,130.45391846
1994-02-01,130.22767639
1994-03-01,131.22999573
1994-04-01,130.00210571
1994-05-01,126.58914948
1994-06-01,127.03417969
1994-07-01,126.11000061
1994-08-01,119.62000275
1994-09-01,119.79000092
1994-10-01,123.61000061
1994-11-01,122.83000183
1994-12-01,120.50807953
1995-01-01,120.61746216
1995-02-01,117.55999756
1995-03-01,117.12000275
1995-04-01,115.25608826
1995-05-01,111.9881897
1995-06-01,112.18618011
1995-07-01,107.85481262
1995-08-01,105.71755219
1995-09-01,105.06999969
1995-10-01,113.40000153
1995-11-01,117.15000153
1995-12-01,114.98217773
1996-01-01,116.21639252
1996-02-01,114.94999695
1996-03-01,118.49285126
1996-04-01,134.94596863
1996-05-01,146.11549377
1996-06-01,153.45387268
1996-07-01,151.62037659
1996-08-01,151.21353149
1996-09-01,154.70500183
1996-10-01,159.63999939
1996-11-01,170.22599792
1996-12-01,173.94999695
1997-01-01,174.16955566
1997-02-01,159.20689392
1997-03-01,153.97872925
1997-04-01,150.19038391
1997-05-01,149.42149353
1997-06-01,150.73733521
1997-07-01,151.48143005
1997-08-01,144.47151184
1997-09-01,140.35621643
1997-10-01,143.04618835
1997-11-01,147.99560547
1997-12-01,138.3193512
1998-01-01,130.01930237
1998-02-01,126.55645752
1998-03-01,123.24613953
1998-04-01,121.11901855
1998-05-01,115.00695038
1998-06-01,105.58137512
1998-07-01,103.51109314
1998-08-01,103.42734528
1998-09-01,116.52708435
1998-10-01,121.30409241
1998-11-01,114.5025177
1998-12-01,111.34640503
1999-01-01,110.05152893
1999-02-01,108.8560094
1999-03-01,108.37526687
1999-04-01,108.79684901
1999-05-01,112.03377597
1999-06-01,111.46290332
1999-07-01,114.66159303
1999-08-01,123.21003961
1999-09-01,119.47340447
1999-10-01,124.56954436
1999-11-01,123.55116952
1999-12-01,124.7883539
2000-01-01,128.24069899
2000-02-01,122.50524358
2000-03-01,123.46868729
2000-04-01,110.47381384
2000-05-01,105.8443253
2000-06-01,104.35627778
2000-07-01,102.30595789
2000-08-01,104.50757359
2000-09-01,109.09640319
2000-10-01,113.14284925
2000-11-01,112.47765086
2000-12-01,117.82690486
2001-01-01,122.87113263
2001-02-01,123.60416504
2001-03-01,137.77126587
2001-04-01,131.90677501
2001-05-01,130.05206978
2001-06-01,124.57228306
2001-07-01,118.64114496
2001-08-01,129.58507804
2001-09-01,138.23915223
2001-10-01,135.10480754
2001-11-01,134.68774175
2001-12-01,135.93714657
2002-01-01,138.14805552
2002-02-01,137.11553343
2002-03-01,137.38572158
2002-04-01,137.76727751
2002-05-01,141.06498113
2002-06-01,143.31231232
2002-07-01,150.80588424
2002-08-01,148.75216325
2002-09-01,150.44649197
2002-10-01,154.81930943
2002-11-01,154.96118289
2002-12-01,157.93637975
2003-01-01,162.69020507
2003-02-01,159.70433242
2003-03-01,153.10480294
2003-04-01,149.04484859
2003-05-01,157.01160684
2003-06-01,165.93152604
2003-07-01,152.4088095
2003-08-01,157.41732098
2003-09-01,167.16385925
2003-10-01,165.75456158
2003-11-01,160.81051497
2003-12-01,166.71868737
2004-01-01,164.66032317
2004-02-01,163.20628403
2004-03-01,160.47081196
2004-04-01,159.10675012
2004-05-01,158.18875853
2004-06-01,164.20947863
2004-07-01,167.8554529
2004-08-01,164.92552797
2004-09-01,163.31138838
2004-10-01,168.81107726
2004-11-01,172.31665154
2004-12-01,182.10404009
2005-01-01,181.6146824
2005-02-01,174.7844147
2005-03-01,171.85138483
2005-04-01,167.50463875
2005-05-01,164.53044465
2005-06-01,159.8254496
2005-07-01,154.42207674
2005-08-01,154.21853547
2005-09-01,155.1284029
2005-10-01,150.35439029
2005-11-01,148.23329484
2005-12-01,148.56972653
2006-01-01,149.23437139
2006-02-01,146.34696007
2006-03-01,140.50878442
2006-04-01,141.22230036
2006-05-01,148.5154916
2006-06-01,150.16363224
2006-07-01,155.9484271
2006-08-01,169.67683264
2006-09-01,164.90893181
2006-10-01,155.77855139
2006-11-01,158.17297063
2006-12-01,162.78205427
2007-01-01,159.31934033
2007-02-01,155.38055808
2007-03-01,154.24217332
2007-04-01,157.17977703
2007-05-01,157.32157145
2007-06-01,159.2448816
2007-07-01,165.7232738
2007-08-01,164.30650793
2007-09-01,163.76181942
2007-10-01,167.72243155
2007-11-01,170.39529368
2007-12-01,165.91525149
2008-01-01,161.18074647
2008-02-01,173.37580157
2008-03-01,178.73975888
2008-04-01,183.69476159
2008-05-01,186.58872092
2008-06-01,185.14456443
2008-07-01,184.13161298
2008-08-01,177.66225045
2008-09-01,170.12908348
2008-10-01,162.10249546
2008-11-01,145.13136343
2008-12-01,140.8061706
2009-01-01,137.40018149
2009-02-01,133.92172187
2009-03-01,131.97064428
2009-04-01,139.44190109
2009-05-01,143.13053539
2009-06-01,153.36824864
2009-07-01,154.13421053
2009-08-01,155.76587114
2009-09-01,154.6103108
2009-10-01,152.0267922
2009-11-01,155.54894737
2009-12-01,151.99240018
2010-01-01,152.32081443
2010-02-01,147.78317831
2010-03-01,142.38098004
2010-04-01,144.9549569
2010-05-01,138.19373541612651
2010-06-01,138.05918350932188
2010-07-01,143.1393862398944
2010-08-01,146.9991140075895
2010-09-01,147.02992822966507
2010-10-01,149.51229636591478
2010-11-01,150.75370153440022
2010-12-01,147.14062613430124
2011-01-01,147.56992740471867
2011-02-01,150.31794759528125
2011-03-01,152.52572595281308
2011-04-01,154.07833214501773
2011-05-01,154.32602087114336
2011-06-01,153.1449653522521
2011-07-01,152.23568374960388
2011-08-01,153.80132446934428
2011-09-01,147.53909029038113
2011-10-01,146.9175410509031
2011-11-01,141.99816513864934
2011-12-01,135.9692783935345
2012-01-01,132.7376929136318
2012-02-01,125.03492639424773
2012-03-01,117.18009957560224
2012-04-01,109.12455316193174
2012-05-01,97.92498155546365
2012-06-01,92.3310137115057
2012-07-01,91.45514638776021
