Date,Price
1980-01-01,38.0
1980-02-01,36.0
1980-03-01,35.75
1980-04-01,35.0
1980-05-01,35.6
1980-06-01,36.0
1980-07-01,33.35
1980-08-01,32.3
1980-09-01,32.25
1980-10-01,36.8
1980-11-01,39.75
1980-12-01,39.35
1981-01-01,39.25
1981-02-01,37.1
1981-03-01,36.85
1981-04-01,35.55
1981-05-01,33.38
1981-06-01,32.17
1981-07-01,31.96
1981-08-01,32.17
1981-09-01,32.06
1981-10-01,32.68
1981-11-01,34.24
1981-12-01,34.12
1982-01-01,34.0
1982-02-01,30.4
1982-03-01,28.6
1982-04-01,30.88
1982-05-01,33.35
1982-06-01,32.65
1982-07-01,31.7
1982-08-01,31.2
1982-09-01,33.05
1982-10-01,33.4
1982-11-01,31.75
1982-12-01,30.1
1983-01-01,30.05
1983-02-01,29.0
1983-03-01,28.1
1983-04-01,28.7
1983-05-01,28.5
1983-06-01,28.16
1983-07-01,28.62
1983-08-01,28.61
1983-09-01,28.39
1983-10-01,28.13
1983-11-01,27.81
1983-12-01,27.54
1984-01-01,27.75
1984-02-01,27.63
1984-03-01,27.83
1984-04-01,27.98
1984-05-01,28.01
1984-06-01,28.0
1984-07-01,27.26
1984-08-01,27.14
1984-09-01,27.43
1984-10-01,27.26
1984-11-01,27.1
1984-12-01,26.72
1985-01-01,27.3
1985-02-01,27.2
1985-03-01,27.13
1985-04-01,26.71
1985-05-01,25.68
1985-06-01,25.43
1985-07-01,25.73
1985-08-01,26.29
1985-09-01,26.58
1985-10-01,26.74
1985-11-01,26.92
1985-12-01,26.39
1986-01-01,21.93
1986-02-01,16.43
1986-03-01,11.97
1986-04-01,10.33
1986-05-01,11.02
1986-06-01,10.38
1986-07-01,8.5
1986-08-01,11.71
1986-09-01,12.92
1986-10-01,13.28
1986-11-01,13.7
1986-12-01,14.5
1987-01-01,17.12
1987-02-01,16.74
1987-03-01,16.93
1987-04-01,17.04
1987-05-01,17.04
1987-06-01,17.2
1987-07-01,17.67
1987-08-01,17.3
1987-09-01,17.01
1987-10-01,17.17
1987-11-01,16.74
1987-12-01,15.61
1988-01-01,15.44
1988-02-01,15.2
1988-03-01,13.59
1988-04-01,14.73
1988-05-01,15.26
1988-06-01,14.41
1988-07-01,12.98
1988-08-01,13.19
1988-09-01,11.77
1988-10-01,10.63
1988-11-01,10.55
1988-12-01,12.57
1989-01-01,14.37
1989-02-01,14.84
1989-03-01,16.13
1989-04-01,17.11
1989-05-01,15.86
1989-06-01,15.6
1989-07-01,15.54
1989-08-01,14.91
1989-09-01,15.71
1989-10-01,16.14
1989-11-01,16.04
1989-12-01,17.12
1990-01-01,17.57
1990-02-01,17.0
1990-03-01,15.59
1990-04-01,14.05
1990-05-01,14.03
1990-06-01,13.05
1990-07-01,14.88
1990-08-01,25.06
1990-09-01,32.03
1990-10-01,32.34
1990-11-01,28.98
1990-12-01,24.18
1991-01-01,19.68
1991-02-01,15.51
1991-03-01,15.65
1991-04-01,15.55
1991-05-01,15.77
1991-06-01,15.03
1991-07-01,16.13
1991-08-01,16.47
1991-09-01,17.5
1991-10-01,19.12
1991-11-01,17.76
1991-12-01,15.11
1992-01-01,15.25
1992-02-01,15.46
1992-03-01,15.56
1992-04-01,16.67
1992-05-01,17.57
1992-06-01,18.98
1992-07-01,18.44
1992-08-01,17.78
1992-09-01,18.36
1992-10-01,18.16
1992-11-01,17.21
1992-12-01,16.22
1993-01-01,15.3
1993-02-01,16.16
1993-03-01,16.44
1993-04-01,16.43
1993-05-01,16.07
1993-06-01,15.4
1993-07-01,14.49
1993-08-01,14.57
1993-09-01,13.9
1993-10-01,14.59
1993-11-01,13.49
1993-12-01,12.03
1994-01-01,13.27
1994-02-01,12.73
1994-03-01,12.53
1994-04-01,13.9
1994-05-01,15.15
1994-06-01,15.88
1994-07-01,16.84
1994-08-01,15.73
1994-09-01,15.08
1994-10-01,15.3
1994-11-01,16.23
1994-12-01,15.34
1995-01-01,16.08
1995-02-01,16.64
1995-03-01,16.49
1995-04-01,17.65
1995-05-01,17.24
1995-06-01,16.24
1995-07-01,15.02
1995-08-01,15.38
1995-09-01,15.43
1995-10-01,14.99
1995-11-01,15.56
1995-12-01,16.81
1996-01-01,16.55
1996-02-01,15.99
1996-03-01,17.09
1996-04-01,17.77
1996-05-01,16.99
1996-06-01,17.0
1996-07-01,17.79
1996-08-01,18.68
1996-09-01,20.35
1996-10-01,21.72
1996-11-01,20.87
1996-12-01,21.64
1997-01-01,21.24
1997-02-01,18.59
1997-03-01,18.07
1997-04-01,16.77
1997-05-01,18.45
1997-06-01,17.34
1997-07-01,17.29
1997-08-01,17.77
1997-09-01,17.95
1997-10-01,19.06
1997-11-01,18.38
1997-12-01,16.31
1998-01-01,13.4
1998-02-01,12.43
1998-03-01,11.53
1998-04-01,11.47
1998-05-01,12.63
1998-06-01,11.68
1998-07-01,12.0
1998-08-01,12.18
1998-09-01,13.07
1998-10-01,12.81
1998-11-01,11.76
1998-12-01,10.12
1999-01-01,10.67
1999-02-01,10.05
1999-03-01,12.08
1999-04-01,14.81
1999-05-01,15.38
1999-06-01,15.4
1999-07-01,17.66
1999-08-01,19.29
1999-09-01,21.48
1999-10-01,21.5
1999-11-01,23.06
1999-12-01,23.53
2000-01-01,23.18
2000-02-01,24.62
2000-03-01,25.08
2000-04-01,22.03
2000-05-01,25.51
2000-06-01,27.32
2000-07-01,26.01
2000-08-01,27.05
2000-09-01,29.74
2000-10-01,30.22
2000-11-01,30.1
2000-12-01,22.16
2001-01-01,22.69
2001-02-01,24.74
2001-03-01,23.43
2001-04-01,24.06
2001-05-01,25.58
2001-06-01,25.61
2001-07-01,23.43
2001-08-01,24.31
2001-09-01,23.96
2001-10-01,19.54
2001-11-01,17.53
2001-12-01,17.64
2002-01-01,18.29
2002-02-01,18.91
2002-03-01,22.85
2002-04-01,24.41
2002-05-01,24.59
2002-06-01,23.83
2002-07-01,24.57
2002-08-01,25.32
2002-09-01,26.83
2002-10-01,26.18
2002-11-01,23.32
2002-12-01,25.71
2003-01-01,28.07
2003-02-01,30.2
2003-03-01,27.42
2003-04-01,23.38
2003-05-01,24.25
2003-06-01,25.47
2003-07-01,26.63
2003-08-01,27.62
2003-09-01,25.27
2003-10-01,27.13
2003-11-01,27.5
2003-12-01,27.86
2004-01-01,28.68
2004-02-01,28.4
2004-03-01,30.46
2004-04-01,31.07
2004-05-01,34.47
2004-06-01,33.41
2004-07-01,34.48
2004-08-01,38.3
2004-09-01,35.48
2004-10-01,37.58
2004-11-01,34.88
