Date,Price
1980-01-01,591.59
1980-02-01,596.6
1980-03-01,561.51
1980-04-01,541.45
1980-05-01,536.44
1980-06-01,546.46
1980-07-01,594.59
1980-08-01,590.58
1980-09-01,591.59
1980-10-01,545.46
1980-11-01,595.6
1980-12-01,576.55
1981-01-01,519.39
1981-02-01,492.32
1981-03-01,504.35
1981-04-01,516.38
1981-05-01,488.31
1981-06-01,482.29
1981-07-01,476.28
1981-08-01,467.25
1981-09-01,471.26
1981-10-01,478.28
1981-11-01,471.26
1981-12-01,449.2
1982-01-01,436.17
1982-02-01,442.19
1982-03-01,436.17
1982-04-01,452.21
1982-05-01,478.28
1982-06-01,433.16
1982-07-01,408.09
1982-08-01,388.04
1982-09-01,391.05
1982-10-01,391.05
1982-11-01,382.02
1982-12-01,384.03
1983-01-01,387.04
1983-02-01,391.05
1983-03-01,397.06
1983-04-01,403.08
1983-05-01,428.15
1983-06-01,405.09
1983-07-01,426.14
1983-08-01,581.56
1983-09-01,678.42
1983-10-01,657.76
1983-11-01,635.7
1983-12-01,627.68
1984-01-01,670.8
1984-02-01,657.76
1984-03-01,706.89
1984-04-01,756.03
1984-05-01,871.34
1984-06-01,833.23
1984-07-01,661.77
1984-08-01,640.72
1984-09-01,652.75
1984-10-01,619.66
1984-11-01,632.7
1984-12-01,556.49
1985-01-01,593.59
1985-02-01,632.7
1985-03-01,651.75
1985-04-01,678.82
1985-05-01,635.7
1985-06-01,612.64
1985-07-01,538.44
1985-08-01,419.75
1985-09-01,413.35
1985-10-01,431.17
1985-11-01,433.48
1985-12-01,450.01
1986-01-01,443.13
1986-02-01,444.68
1986-03-01,302.09
1986-04-01,537.34
1986-05-01,341.05
1986-06-01,358.62
1986-07-01,341.11
1986-08-01,312.14
1986-09-01,253.31
1986-10-01,292.7
1986-11-01,347.4
1986-12-01,339.07
1987-01-01,367.54
1987-02-01,341.93
1987-03-01,323.23
1987-04-01,332.61
1987-05-01,333.49
1987-06-01,347.25
1987-07-01,349.36
1987-08-01,293.53
1987-09-01,320.67
1987-10-01,325.56
1987-11-01,330.19
1987-12-01,502.63
1988-01-01,544.56
1988-02-01,530.43
1988-03-01,552.82
1988-04-01,566.5
1988-05-01,565.01
1988-06-01,538.13
1988-07-01,515.0
1988-08-01,512.69
1988-09-01,508.41
1988-10-01,524.16
1988-11-01,545.99
1988-12-01,551.94
1989-01-01,536.36
1989-02-01,529.68
1989-03-01,517.96
1989-04-01,513.49
1989-05-01,492.6
1989-06-01,468.97
1989-07-01,489.91
1989-08-01,482.59
1989-09-01,424.07
1989-10-01,401.75
1989-11-01,426.26
1989-12-01,435.54
1990-01-01,440.95
1990-02-01,422.29
1990-03-01,412.77
1990-04-01,428.8
1990-05-01,444.77
1990-06-01,430.43
1990-07-01,435.43
1990-08-01,421.39
1990-09-01,422.95
1990-10-01,429.86
1990-11-01,432.07
1990-12-01,420.13
1991-01-01,406.08
1991-02-01,404.94
1991-03-01,397.32
1991-04-01,411.23
1991-05-01,435.03
1991-06-01,415.22
1991-07-01,438.36
1991-08-01,437.68
1991-09-01,389.55
1991-10-01,408.23
1991-11-01,428.37
1991-12-01,426.62
1992-01-01,405.89
1992-02-01,387.36
1992-03-01,384.56
1992-04-01,411.06
1992-05-01,405.58
1992-06-01,450.3
1992-07-01,456.72
1992-08-01,424.65
1992-09-01,395.56
1992-10-01,355.03
1992-11-01,326.69
1992-12-01,457.77
1993-01-01,425.93
1993-02-01,419.78
1993-03-01,435.22
1993-04-01,454.7
1993-05-01,436.65
1993-06-01,441.49
1993-07-01,461.01
1993-08-01,455.04
1993-09-01,470.98
1993-10-01,472.12
1993-11-01,503.43
1993-12-01,554.24
1994-01-01,580.65
1994-02-01,576.66
1994-03-01,597.8
1994-04-01,597.51
1994-05-01,601.16
1994-06-01,597.68
1994-07-01,576.35
1994-08-01,589.28
1994-09-01,653.58
1994-10-01,730.78
1994-11-01,654.94
1994-12-01,698.77
1995-01-01,721.3
1995-02-01,653.84
1995-03-01,704.18
1995-04-01,717.4
1995-05-01,605.0
1995-06-01,614.0
1995-07-01,626.71
1995-08-01,618.43
1995-09-01,583.96
1995-10-01,576.25
1995-11-01,594.24
1995-12-01,577.22
1996-01-01,561.62
1996-02-01,536.1
1996-03-01,519.24
1996-04-01,530.37
1996-05-01,590.66
1996-06-01,593.77
1996-07-01,582.62
1996-08-01,564.08
1996-09-01,575.36
1996-10-01,583.36
1996-11-01,572.04
1996-12-01,547.62
1997-01-01,529.62
1997-02-01,544.65
1997-03-01,528.15
1997-04-01,553.84
1997-05-01,566.75
1997-06-01,554.02
1997-07-01,543.16
1997-08-01,501.85
1997-09-01,527.88
1997-10-01,575.82
1997-11-01,686.91
1997-12-01,641.34
1998-01-01,629.61
1998-02-01,645.92
1998-03-01,647.81
1998-04-01,665.44
1998-05-01,661.6
1998-06-01,650.02
1998-07-01,608.11
1998-08-01,588.9
1998-09-01,609.95
1998-10-01,635.47
1998-11-01,609.82
1998-12-01,613.05
1999-01-01,571.28
1999-02-01,499.91
1999-03-01,430.99
1999-04-01,439.59
1999-05-01,444.23
1999-06-01,413.29
1999-07-01,398.16
1999-08-01,366.4
1999-09-01,449.56
1999-10-01,397.68
1999-11-01,368.51
1999-12-01,364.66
2000-01-01,366.05
2000-02-01,350.41
2000-03-01,353.87
2000-04-01,373.66
2000-05-01,356.05
2000-06-01,358.92
2000-07-01,343.93
2000-08-01,345.65
2000-09-01,332.81
2000-10-01,323.71
2000-11-01,315.1
2000-12-01,334.72
2001-01-01,342.98
2001-02-01,331.48
2001-03-01,351.18
2001-04-01,361.56
2001-05-01,370.56
2001-06-01,361.51
2001-07-01,371.84
2001-08-01,435.41
2001-09-01,444.65
2001-10-01,441.27
2001-11-01,432.43
2001-12-01,457.68
2002-01-01,444.03
2002-02-01,433.86
2002-03-01,409.65
2002-04-01,411.14
2002-05-01,410.06
2002-06-01,438.49
2002-07-01,469.19
2002-08-01,482.34
2002-09-01,539.45
2002-10-01,523.23
2002-11-01,565.3
2002-12-01,623.45
2003-01-01,620.67
2003-02-01,622.98
2003-03-01,554.02
2003-04-01,580.89
2003-05-01,621.58
2003-06-01,632.69
2003-07-01,611.0
2003-08-01,573.9
2003-09-01,547.68
2003-10-01,595.08
2003-11-01,641.81
2003-12-01,640.64
2004-01-01,688.63
2004-02-01,683.49
2004-03-01,696.37
2004-04-01,661.68
2004-05-01,742.96
2004-06-01,749.29
2004-07-01,876.53
2004-08-01,722.35
2004-09-01,711.72
2004-10-01,651.96
2004-11-01,671.38
2004-12-01,702.05
2005-01-01,744.1
2005-02-01,728.62
2005-03-01,716.53
2005-04-01,714.29
2005-05-01,681.71
2005-06-01,678.42
2005-07-01,652.96
2005-08-01,701.2
2005-09-01,708.89
2005-10-01,774.26
2005-11-01,780.89
2005-12-01,769.72
2006-01-01,784.24
2006-02-01,791.92
2006-03-01,784.54
2006-04-01,830.28
2006-05-01,880.61
2006-06-01,888.57
2006-07-01,852.1
2006-08-01,900.99
2006-09-01,850.7
2006-10-01,838.11
2006-11-01,894.68
2006-12-01,919.08
2007-01-01,915.02
2007-02-01,864.93
2007-03-01,854.86
2007-04-01,835.79
2007-05-01,858.9
2007-06-01,903.5
2007-07-01,939.4
2007-08-01,1006.75
2007-09-01,1078.89
2007-10-01,1093.15
2007-11-01,1325.49
2007-12-01,1465.58
2008-01-01,1491.61
2008-02-01,1479.24
2008-03-01,1640.5
2008-04-01,1564.06
2008-05-01,1580.45
2008-06-01,1639.55
2008-07-01,1736.46
2008-08-01,1467.67
2008-09-01,1352.99
2008-10-01,1149.9
2008-11-01,1074.19
2008-12-01,907.9
2009-01-01,840.72
2009-02-01,767.78
2009-03-01,731.63
2009-04-01,802.12
2009-05-01,901.37
2009-06-01,910.48
2009-07-01,857.4
2009-08-01,875.75
2009-09-01,856.85
2009-10-01,885.83
2009-11-01,923.98
2009-12-01,920.23
2010-01-01,915.6340809523809
2010-02-01,900.9898249999999
2010-03-01,909.7959173913042
2010-04-01,907.8746045454544
2010-05-01,861.8511190476191
